id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Alfredo;Guevara Montemayor;Carmen15@yahoo.com;qua basic;2024-02-15T21:25:55;25903;18743
2;María del Carmen;Urías Moreno;Estela.AguirreVergara@yahoo.com;unlike because;2024-02-14T22:42:28;5858;22863
3;Rosalia;Farías Lozada;Roberto.EchevarriaMercado@hotmail.com;likewise as;2024-02-15T07:36:48;8859;8344
4;Horacio;Estévez Montoya;Claudio53@hotmail.com;boohoo reckless;2024-02-15T16:34:34;22240;32101
5;Gilberto;Cuellar Correa;Enrique.VanegasOrellana62@gmail.com;truthful unto beloved;2024-02-15T12:21:44;6147;8621
6;Armando;Estévez Cerda;Sergio_UlibarriQuintana17@hotmail.com;late boo;2024-02-15T01:28:53;32488;31141
7;Luz;Gracia Arredondo;Rocio80@hotmail.com;unusual;2024-02-14T22:12:03;23417;20368
8;Ester;Ponce Palacios;Guadalupe48@yahoo.com;needy which;2024-02-15T13:42:44;4264;21660
9;Inés;Cruz Romero;Estela_ArteagaMatias@gmail.com;hmph;2024-02-15T12:05:13;21938;29109
10;Nicolás;Tórrez Serna;JoseEduardo.CeballosMadera84@hotmail.com;silently sticky figure;2024-02-14T22:51:46;9511;17214
